point_id,point_type,longitude,latitude,GEOID,tract_name,total_pop,median_age,pct_white,pct_black,pct_asian,pct_hispanic,median_income,poverty_rate,pct_college,pct_owner_occupied,median_home_value,median_rent,unemployment_rate,sky_ratio,green_view_index,building_ratio,road_ratio,vehicle_ratio,person_ratio,tree_ratio,grass_ratio,sidewalk_ratio,car_ratio,is_happy
46159,happy_point,-75.1509716999999,39.94687840000006,42101001001,Census Tract 10.01; Philadelphia County; Pennsylvania,2717.0,60.8,0.9260213470739787,0.009569377990430622,0.026499815973500183,0.03165255796834744,123935.0,0.054471843945528155,0.8558158319870759,0.6057282145033516,487600.0,1930.0,0.033946251768033946,0.0932882853916713,0.0067582811628069,0.4805859157017299,0.3119440078735351,0.0,0.0,0.0067582811628069,0.0,0.2786728995186942,0.0,1
46160,happy_point,-75.1892906999999,39.96397040000005,42101010900,Census Tract 109; Philadelphia County; Pennsylvania,2717.0,27.1,0.15826278984173722,0.7791682002208318,0.03496503496503497,0.02208317997791682,31341.0,0.3923444976076555,0.23809523809523808,0.24070631970260223,320500.0,1176.0,0.1706379707916987,0.3173638752528599,0.1283798217773437,0.1853256225585937,0.3005327497209821,0.0509778431483677,0.0017283303397042,0.0632532664707728,0.0,0.190183367047991,0.0509778431483677,1
46161,happy_point,-75.18332979999991,39.95266310000005,42101036902,Census Tract 369.02; Philadelphia County; Pennsylvania,6267.0,19.9,0.5439604276368278,0.13914153502473273,0.23105153981171214,0.05696505505026329,29464.0,0.12781235040689326,0.7492063492063492,0.0,-666666666.0,2630.0,0.11815437688658904,0.0,0.0,0.0,0.0485022408621651,0.0001253400530133,0.0005871909005301,0.0,0.0,0.0,0.0001253400530133,1
46162,happy_point,-75.1876049999999,39.96119760000004,42101009000,Census Tract 90; Philadelphia County; Pennsylvania,7375.0,20.0,0.6021694915254238,0.15932203389830507,0.18305084745762712,0.04271186440677966,37674.0,0.2334915254237288,0.5445232466509062,0.10977337110481586,195000.0,1378.0,0.06296851574212893,0.3703823089599609,0.2524396351405552,0.05234009878976,0.162898199898856,0.0,0.000955445425851,0.0480544226510184,0.2043852124895368,0.0382863453456333,0.0,1
46163,happy_point,-75.15045019999991,39.95566340000002,42101000102,Census Tract 1.02; Philadelphia County; Pennsylvania,2897.0,31.9,0.8853986882982395,0.040386606834656544,0.04004142216085606,0.03589920607525026,94974.0,0.06696582671729376,0.8955102040816326,0.36122448979591837,508100.0,2151.0,0.048625792811839326,0.325573240007673,0.1923347200666155,0.0342279161725725,0.0677877153669084,2.7247837611607143e-06,0.0,0.1765546798706054,0.01578004019601,0.0669537952968052,2.7247837611607143e-06,1
46164,happy_point,-75.13506019999996,39.96556150000003,42101014202,Census Tract 142.02; Philadelphia County; Pennsylvania,2273.0,35.8,0.7809062912450506,0.061152661680598325,0.05719313682358117,0.09370875494940607,127774.0,0.01715794104707435,0.7158308751229105,0.3758099352051836,583300.0,1982.0,0.011916583912611719,0.4732268197195871,0.0023134776524135,0.0400566373552594,0.4196788242885044,0.0182621819632393,0.0,0.0023134776524135,0.0,0.0,0.0182621819632393,1
46165,happy_point,-75.18801819999993,39.954070700000045,42101036902,Census Tract 369.02; Philadelphia County; Pennsylvania,6267.0,19.9,0.5439604276368278,0.13914153502473273,0.23105153981171214,0.05696505505026329,29464.0,0.12781235040689326,0.7492063492063492,0.0,-666666666.0,2630.0,0.11815437688658904,0.2709590366908482,0.0413402829851423,0.2189905984061105,0.4264876501900809,0.0164522443498883,0.0028024400983537,0.0413402829851423,0.0,0.0309486389160156,0.0164263589041573,1
46166,happy_point,-75.19830029999991,39.94916550000004,42101036901,Census Tract 369.01; Philadelphia County; Pennsylvania,25.0,38.6,0.0,1.0,0.0,0.0,-666666666.0,0.0,0.32,,-666666666.0,-666666666.0,,0.1538937432425362,0.4129266738891601,0.0013419560023716,0.0,0.0056818553379603,0.0008059910365513,0.2506029946463449,0.0,0.0,0.0056818553379603,1
46167,happy_point,-75.1690347999999,39.95180020000004,42101000404,Census Tract 4.04; Philadelphia County; Pennsylvania,3130.0,45.9,0.7926517571884985,0.06389776357827476,0.1012779552715655,0.009904153354632588,90980.0,0.06261980830670927,0.7448979591836735,0.44589877835951136,344900.0,2330.0,0.01223529411764706,0.0490850721086774,0.2521137510027204,0.1587505340576172,0.0705642700195312,0.0087788445608956,0.0147150584629603,0.2135225023542131,0.0,0.0705642700195312,0.0,1
46168,happy_point,-75.13432299999994,39.96903720000006,42101015800,Census Tract 158; Philadelphia County; Pennsylvania,6849.0,34.3,0.8158855307344138,0.030953423857497445,0.030953423857497445,0.15345305884070667,123431.0,0.07271134472185721,0.6785845927018062,0.5629037219317133,369200.0,1879.0,0.035303451011503374,0.4137992858886719,0.0077924728393554,0.0951765605381557,0.4415790012904576,0.0119639805385044,2.9972621372767857e-06,0.0077924728393554,0.0,0.0577210017613002,0.0119639805385044,1
46169,happy_point,-75.16529699999995,39.946793500000055,42101001204,Census Tract 12.04; Philadelphia County; Pennsylvania,3134.0,34.2,0.8286534779834078,0.017549457562220806,0.0622208040842374,0.05041480536056158,88583.0,0.12029355456285896,0.8288643533123028,0.27357998957790514,766400.0,1709.0,0.028505747126436783,0.1587949480329241,0.0,0.3844195774623326,0.4504154750279018,0.0056873049054827,0.0006826945713588,0.0,0.0,0.0737004961286272,0.0,1
46170,happy_point,-75.1905526999999,39.957050200000076,42101009000,Census Tract 90; Philadelphia County; Pennsylvania,7375.0,20.0,0.6021694915254238,0.15932203389830507,0.18305084745762712,0.04271186440677966,37674.0,0.2334915254237288,0.5445232466509062,0.10977337110481586,195000.0,1378.0,0.06296851574212893,0.2450043814522879,0.2980898448399135,0.0288223539079938,0.2507016318184988,0.0,0.0,0.2265052795410156,0.0715818405151367,0.2507016318184988,0.0,1
46171,happy_point,-75.1709603999999,39.95803330000007,42101000300,Census Tract 3; Philadelphia County; Pennsylvania,3914.0,36.3,0.6032192130812468,0.08840061318344404,0.1936637710781809,0.058763413387838526,95234.0,0.07639243740419009,0.8100664767331434,0.17596932253941203,669800.0,2057.0,0.037720033528918694,0.3950693947928292,0.0548838206699916,0.0725724356515067,0.4757405689784458,0.0,0.0,0.0499736240931919,0.0041719164167131,0.0155303137642996,0.0,1
46172,happy_point,-75.1832508999999,39.95311020000007,42101036902,Census Tract 369.02; Philadelphia County; Pennsylvania,6267.0,19.9,0.5439604276368278,0.13914153502473273,0.23105153981171214,0.05696505505026329,29464.0,0.12781235040689326,0.7492063492063492,0.0,-666666666.0,2630.0,0.11815437688658904,0.1852438790457589,0.0,0.3409121377127511,0.4560232162475586,0.0168936593191964,6.975446428571428e-05,0.0,0.0,0.0450454439435686,0.0168936593191964,1
46173,happy_point,-75.1566059999999,39.95462310000007,42101000200,Census Tract 2; Philadelphia County; Pennsylvania,3486.0,43.1,0.40476190476190477,0.04991394148020654,0.4945496270797476,0.04991394148020654,98994.0,0.18588640275387264,0.5570127504553734,0.5183867141162515,483700.0,1592.0,0.06338329764453962,0.2348510197230748,0.0,0.3496010644095285,0.3025444575718471,0.0,0.0006288800920758,0.0,0.0,0.0364563805716378,0.0,1
46174,happy_point,-75.17636979999992,39.95323080000008,42101000401,Census Tract 4.01; Philadelphia County; Pennsylvania,2675.0,33.7,0.5764485981308411,0.15700934579439252,0.21046728971962617,0.03626168224299065,86293.0,0.18990654205607477,0.8026868178001679,0.3270311701584057,587400.0,1327.0,0.004656577415599534,0.3019608088902065,0.0,0.2279243469238281,0.3471110207693917,0.0140202386038643,0.0002027239118303,0.0,0.0,0.097484997340611,0.0112244742257254,1
46175,happy_point,-75.14067399999993,39.94682860000006,42101036600,Census Tract 366; Philadelphia County; Pennsylvania,2240.0,37.3,0.7616071428571428,0.054017857142857145,0.13482142857142856,0.12366071428571429,156061.0,0.029910714285714287,0.7403946002076843,0.4612141652613828,505900.0,2340.0,0.016223231667748216,0.2228264127458845,0.1366713387625558,0.1917488915579659,0.0010322843279157,0.0,0.0,0.1155512673514229,0.0001993179321289,0.0009937286376953,0.0,1
46176,happy_point,-75.1646624999999,39.95088840000006,42101000701,Census Tract 7.01; Philadelphia County; Pennsylvania,1807.0,30.6,0.7969009407858328,0.002213613724405091,0.18871057000553404,0.05755395683453238,86809.0,0.14111787493082456,0.853393085787452,0.2516459400146306,387100.0,2097.0,0.007417397167902899,0.1386135646275111,0.0074078696114676,0.3721614565168108,0.3865784236363002,0.0905878884451729,0.0,0.0074078696114676,0.0,0.01497255052839,0.0238768713814871,1
46177,happy_point,-75.18096609999992,39.96556970000006,42101980001,Census Tract 9800.01; Philadelphia County; Pennsylvania,0.0,-666666666.0,,,,,-666666666.0,,,,-666666666.0,-666666666.0,,0.2424301419939313,0.0284982408796037,0.5065009253365653,0.0010911396571568,0.0,0.0003508159092494,0.0284743990216936,0.0,0.0,0.0,1
46178,happy_point,-75.19553829999995,39.97149590000003,42101980002,Census Tract 9800.02; Philadelphia County; Pennsylvania,0.0,-666666666.0,,,,,-666666666.0,,,,-666666666.0,-666666666.0,,0.1787855965750558,0.276235716683524,0.0157007489885602,0.0,0.0,0.0,0.2738903590611049,0.0,0.0,0.0,1
46179,happy_point,-75.1718914999999,39.94946210000006,42101000803,Census Tract 8.03; Philadelphia County; Pennsylvania,2998.0,37.2,0.8028685790527018,0.02334889926617745,0.09606404269513008,0.06104069379586391,82112.0,0.11440960640426952,0.9095617529880478,0.3858345715700842,744300.0,1760.0,0.07888407888407889,0.2049500601632254,0.2237994330269949,2.7792794363839285e-05,0.0912496021815708,0.0,1.1035374232700893e-05,0.2231057030814034,0.0006937299455915,0.0272205897739955,0.0,1
46180,happy_point,-75.17856649999993,39.95779840000005,42101000300,Census Tract 3; Philadelphia County; Pennsylvania,3914.0,36.3,0.6032192130812468,0.08840061318344404,0.1936637710781809,0.058763413387838526,95234.0,0.07639243740419009,0.8100664767331434,0.17596932253941203,669800.0,2057.0,0.037720033528918694,0.2997228077479771,0.123255865914481,0.0157510212489536,0.0345352717808314,0.0,0.0008578981672014,0.1098649161202567,0.0101720264979771,0.0,0.0,1
46181,happy_point,-75.21294289999992,39.98138740000006,42101980002,Census Tract 9800.02; Philadelphia County; Pennsylvania,0.0,-666666666.0,,,,,-666666666.0,,,,-666666666.0,-666666666.0,,0.2419325964791434,0.3249976294381277,0.1164121627807617,0.0,0.0,0.002399172101702,0.0942084448678153,0.1169982637677874,0.0,0.0,1
46182,happy_point,-75.15961639999995,39.98146090000006,42101015300,Census Tract 153; Philadelphia County; Pennsylvania,5051.0,20.9,0.4298158780439517,0.4157592555929519,0.0942387646010691,0.06751138388437933,28037.0,0.3906157196594734,0.15038115038115038,0.23758389261744967,221900.0,1110.0,0.1674766355140187,0.3757227488926479,0.0160814012799944,0.1536455154418945,0.4499592099870954,0.0032760075160435,0.0,0.0105382374354771,0.0024901798793247,0.06593690599714,0.0032760075160435,1
46183,happy_point,-75.15623189999991,39.95510000000007,42101000200,Census Tract 2; Philadelphia County; Pennsylvania,3486.0,43.1,0.40476190476190477,0.04991394148020654,0.4945496270797476,0.04991394148020654,98994.0,0.18588640275387264,0.5570127504553734,0.5183867141162515,483700.0,1592.0,0.06338329764453962,0.2979236330304827,0.0,0.2377698080880301,0.4193556649344308,0.0442761012486049,0.0,0.0,0.0,0.0526884623936244,0.0442761012486049,1
46184,happy_point,-75.18295779999994,39.965523700000055,42101980001,Census Tract 9800.01; Philadelphia County; Pennsylvania,0.0,-666666666.0,,,,,-666666666.0,,,,-666666666.0,-666666666.0,,0.2991455623081752,0.1150011335100446,0.1215584618704659,0.0118590763636997,0.0,0.0012628010341099,0.0792164121355329,3.174373081752232e-05,0.0,0.0,1
46185,happy_point,-75.15239389999994,39.94703670000007,42101001001,Census Tract 10.01; Philadelphia County; Pennsylvania,2717.0,60.8,0.9260213470739787,0.009569377990430622,0.026499815973500183,0.03165255796834744,123935.0,0.054471843945528155,0.8558158319870759,0.6057282145033516,487600.0,1930.0,0.033946251768033946,0.2158610480172293,0.2304321016584123,0.0059031077793666,0.1161988122122628,0.0,0.0,0.2252119609287806,0.0014231545584542,0.1158041272844587,0.0,1
46186,happy_point,-75.13987739999993,39.95622600000007,42101036600,Census Tract 366; Philadelphia County; Pennsylvania,2240.0,37.3,0.7616071428571428,0.054017857142857145,0.13482142857142856,0.12366071428571429,156061.0,0.029910714285714287,0.7403946002076843,0.4612141652613828,505900.0,2340.0,0.016223231667748216,0.3714280809674944,0.0052219118390764,0.1538700376238141,0.3424758911132812,0.0360770906720842,0.0,0.0052219118390764,0.0,0.314455441066197,0.0308554513113839,1
